,Station_Name,Owner,Latitude,Longitude,Wind Dir.,Wind speed,Wave Height,Dom Wave Period,Ave Wave Period,Wave Dir.,Sea Level Pressure,Air Temp.,Sea Surface Temp.,Dewpoint Temp.,Station Visib.,Water Level,Energy Flux,Wave Height Cat,Wave Period Cat
0,44005,Shell Oil Stations,-69.128,43.204,194.93472646161067,5.7799155326138045,1.3601703084832888,7.705,5.288071979434465,161.282,1016.041,9.710,11.016,11.471,,,4790.355456387873,Tall,Long
1,44095,Shell Oil Stations,-75.330,35.750,,,1.3402403150153408,8.322,5.550170826336227,102.439,,,18.003,,,,4881.524880728452,Tall,Long
2,42020,Shell Oil Stations,-96.694,26.968,135.86036889524766,6.4575387044596395,1.2808008356546017,6.563,4.851848885793895,111.423,1015.087,24.147,25.139,21.528,,,3897.214164448599,Tall,Average
3,41044,Shell Oil Stations,-58.614,21.639,100.20886186941021,5.6717065753002895,1.7124064852345138,9.369,6.34987955993052,107.313,1018.619,26.441,27.263,21.352,,,9117.232241198111,Very Tall,Long
4,46053,Shell Oil Stations,-119.841,34.248,222.27968245996948,4.491136315495583,1.1334796710297683,10.070,5.965806787906875,253.150,1015.245,15.322,15.757,12.949,,,3753.0163519596867,Tall,Long
5,46025,Shell Oil Stations,-119.053,33.749,224.97994866549587,3.8267923148005565,1.0811374956562028,12.421,6.313183134483948,217.177,1014.969,16.306,16.991,14.255,,,3613.2170322030574,Tall,Long
6,42059,Shell Oil Stations,-67.472,15.054,101.69077027385548,7.060540229885107,1.4016037409075113,7.104,5.1140526498094925,98.250,1013.761,28.421,28.786,24.541,,,4919.256776505672,Tall,Long
7,51210,Shell Oil Stations,-157.756,21.477,,,1.6658630569524,9.179,6.401333177406148,101.878,,,25.892,,,,8698.268874102841,Very Tall,Long
8,46047,Shell Oil Stations,-119.536,32.403,285.24714803824594,5.7946744002108845,2.0487466598803894,12.172,7.3537740170504975,277.114,1014.856,16.070,17.013,13.906,,,15113.693082739124,Very Tall,Very Long
9,44099,Shell Oil Stations,-75.720,36.901,,,1.0126025694156642,8.188,4.997139798314688,109.822,,,18.394,,,,2508.899998117565,Tall,Average
10,46069,Shell Oil Stations,-120.200,33.670,281.72287720654555,6.847324002883274,2.017526414651329,12.116,7.134306175158494,275.767,1015.121,15.231,15.999,14.169,,,14219.162068191885,Very Tall,Very Long
11,46081,Shell Oil Stations,-148.263,60.803,142.3369080779944,4.178978061649542,0.15812589824661874,3.125,2.7857760850819204,113.818,1012.816,7.610,9.162,5.285,,,34.1064108042017,Low Height,Short
12,46029,Shell Oil Stations,-124.514,46.159,199.6646193069881,5.7270698427381905,2.1122675763182297,11.509,7.049442645698411,277.658,1017.148,11.784,12.642,8.763,,,15400.557708005172,Very Tall,Very Long
13,46108,Shell Oil Stations,-151.817,59.590,,,0.6306463533225273,5.110,3.7324330632090734,244.517,,,8.303,,,,726.8547071258996,Average Height,Average
14,46256,Shell Oil Stations,-118.201,33.700,,,0.8582727537074734,14.236,7.972836289619107,212.176,,,16.983,,,,2875.7246499084845,Average Height,Very Long
15,44027,Shell Oil Stations,-67.314,44.273,212.94350544107436,6.992214252660812,1.4385683179096356,7.094,5.016309199782256,183.574,1014.899,6.712,8.458,7.794,,,5083.105022333066,Tall,Long
16,46011,Shell Oil Stations,-120.992,35.000,238.50651580179482,5.576851707469198,2.02160804655871,11.895,7.124228238866378,281.638,1016.234,13.792,14.680,10.008,,,14256.586102932637,Very Tall,Very Long
17,46086,Shell Oil Stations,-118.034,32.491,255.54370365905118,3.9668615162106815,1.4826248415716117,12.776,7.173275031685687,241.268,1014.416,17.146,18.701,14.373,,,7720.827141475764,Tall,Very Long
18,41047,Shell Oil Stations,-71.483,27.517,144.67893073836433,5.700453475357907,1.6150919245985584,8.697,6.0512822899697625,117.699,1018.436,26.413,27.677,21.200,,,7729.042693197532,Very Tall,Long
19,41115,Shell Oil Stations,-67.280,18.379,,,0.9396946905475148,9.242,6.083248135636415,130.004,,,28.260,,,,2630.224867655479,Average Height,Long
20,44090,Shell Oil Stations,-70.329,41.840,,,0.5758550003274594,4.060,3.2415757416988717,209.638,,,11.585,,,,526.3398593177435,Average Height,Average
21,44020,Shell Oil Stations,-70.186,41.443,200.43963113195588,6.467521971123692,0.4884492972470636,3.795,3.352436984551038,184.206,1016.480,8.649,12.240,4.619,,,391.63671869864083,Low Height,Average
22,46080,Shell Oil Stations,-150.042,57.947,191.4948308270677,7.140425778086323,2.2105218095568646,9.805,6.463796135601081,189.138,1008.876,7.678,9.012,7.111,,,15465.396562224287,Very Tall,Long
23,51213,Shell Oil Stations,-157.003,20.750,,,1.0104524191859214,13.145,7.131005375968732,209.396,,,26.904,,,,3565.055552665364,Tall,Very Long
24,51209,Shell Oil Stations,-170.494,-14.265,,,2.190744855967077,11.220,7.463432098765447,159.811,,,28.993,,,,17539.04688493859,Very Tall,Very Long
25,46014,Shell Oil Stations,-123.974,39.235,246.54380933927533,5.993310998151616,2.3183930434782614,11.202,7.070338550724643,289.375,1015.511,12.341,12.460,11.092,,,18607.93333610152,Very Tall,Very Long
26,44089,Shell Oil Stations,-75.334,37.756,,,1.007822331173758,8.172,5.167727776805021,120.030,,,15.656,,,,2570.1080631880595,Tall,Long
27,41112,Shell Oil Stations,-81.293,30.719,,,0.8926984310774067,7.824,4.8281572396225325,105.309,,,22.497,,,,1883.973328658638,Average Height,Average
28,41010,Shell Oil Stations,-78.493,28.872,151.11707959630397,6.249346449265603,1.4953963083604715,8.371,5.696996471226909,112.899,1017.764,24.981,26.661,19.790,,,6237.956768642102,Tall,Long
29,44087,Shell Oil Stations,-76.151,37.026,,,0.5049618038442587,6.094,3.725455889600768,130.881,,,17.535,,,,465.136354307127,Average Height,Average
30,46264,Shell Oil Stations,-151.695,57.479,,,2.6007600625244307,10.137,6.950095740523663,171.195,,,8.146,,,,23018.40165746272,Very Tall,Long
31,51206,Shell Oil Stations,-154.970,19.780,,,1.998098627677314,9.687,7.086936001026016,121.436,,,26.267,,,,13854.031019792114,Very Tall,Very Long
32,46059,Shell Oil Stations,-129.969,38.047,218.50387193712442,6.788644723918097,2.5038502488137904,11.535,7.278538363615283,224.280,1020.108,11.889,15.885,8.594,,,22343.16429236945,Very Tall,Very Long
33,46253,Shell Oil Stations,-118.184,33.578,,,0.9217705909725452,12.594,6.775207654723122,216.822,,,17.832,,,,2818.7211103550294,Average Height,Long
34,51202,Shell Oil Stations,-157.668,21.417,,,1.831888843907232,9.486,6.478234341564997,106.890,,,25.946,,,,10644.829053608095,Very Tall,Long
35,44098,Shell Oil Stations,-70.168,42.798,,,1.2419189131819115,7.543,5.062617278709405,144.609,,,12.172,,,,3823.3616603031337,Tall,Long
36,46232,Shell Oil Stations,-117.431,32.530,,,1.2707363013698585,13.688,7.784938356164335,230.743,,,18.340,,,,6155.308908180806,Tall,Very Long
37,46082,Shell Oil Stations,-143.392,59.668,165.91628026790315,6.744495296211535,2.0928305594082333,10.478,6.64165164123903,190.291,1010.822,8.608,10.126,6.312,,,14243.870976765544,Very Tall,Long
38,46243,Shell Oil Stations,-124.128,46.216,,,1.7887745778394708,11.675,-,260.320,,,12.243,,,,11546.430924648444,Very Tall,Very Long
39,41108,Shell Oil Stations,-78.015,33.721,,,0.9750266512166896,7.230,4.580396871378944,153.292,,,20.857,,,,2132.160457307975,Average Height,Average
40,46060,Shell Oil Stations,-146.784,60.584,171.49147992530345,5.168627904288494,0.6602867092280928,8.502,4.8911247823563615,180.901,1010.536,7.951,9.732,,,,1044.1374084171698,Average Height,Average
41,51101,Shell Oil Stations,-162.058,24.321,108.89003482972136,6.271583626811403,2.298089548776244,10.974,7.195154854425242,172.366,1017.634,24.489,23.637,21.576,,,18606.20674707562,Very Tall,Very Long
42,41159,Shell Oil Stations,-76.948,34.210,,,1.3093088038999503,7.582,5.1742429342464105,142.376,,,22.436,,,,4343.249649873571,Tall,Long
43,51000,Shell Oil Stations,-154.056,23.546,105.44248716752216,6.540746734481544,2.2881216044387904,10.759,7.167018841752398,172.443,1016.826,24.128,25.321,,,,18373.020155962007,Very Tall,Very Long
44,46001,Shell Oil Stations,-147.920,56.304,214.14006950013362,7.996560069144343,2.8739218398754915,10.514,6.9834929967144745,221.670,1008.237,8.109,9.146,,,,28242.71276908896,Very Tall,Long
45,46041,Shell Oil Stations,-124.704,47.349,210.15404275092936,5.134229432213204,2.050257242178441,11.423,7.255090382387031,272.000,1016.965,11.344,12.420,,,,14932.871854168003,Very Tall,Very Long
46,42098,Shell Oil Stations,-82.931,27.589,,,0.6658160219675235,4.665,3.5353193648519508,216.370,,,25.267,,,,767.398484558421,Average Height,Average
47,42055,Shell Oil Stations,-94.000,22.203,109.5429232961292,6.161906325491923,1.273329075708314,6.408,4.844343938690184,100.586,1013.714,25.082,27.602,21.532,,,3845.918559780454,Tall,Average
48,46006,Shell Oil Stations,-137.464,40.754,209.62735194324486,6.723522504138927,2.530819634174585,11.559,7.203389673535547,249.357,1019.878,14.969,16.084,12.776,,,22591.397694749718,Very Tall,Very Long
49,51201,Shell Oil Stations,-158.116,21.673,,,1.6644339399669132,11.017,7.0502676672182085,207.323,,,24.321,,,,9563.62488496249,Very Tall,Very Long
50,46219,Shell Oil Stations,-119.882,33.221,,,2.0525591267434757,12.476,7.653434808975183,275.582,,,15.647,,,,15788.160833926182,Very Tall,Very Long
51,46259,Shell Oil Stations,-121.664,34.732,,,2.2029328580611254,11.937,7.767908607491374,284.057,,,15.013,,,,18458.246036463846,Very Tall,Very Long
52,46114,Shell Oil Stations,-122.342,36.710,,,2.1625708202732232,12.106,7.788056064817562,279.011,,,14.039,,,,17834.19654340003,Very Tall,Very Long
53,41013,Shell Oil Stations,-77.743,33.436,169.3877255620959,6.660459920650097,1.325259310824925,7.530,5.112195150249448,136.990,1017.715,21.399,23.816,16.856,,,4396.357025957105,Tall,Long
54,46248,Shell Oil Stations,-124.667,46.133,,,2.142355627371081,11.703,7.601691021497829,272.822,,,13.247,,,,17083.511498487198,Very Tall,Very Long
55,41114,Shell Oil Stations,-80.225,27.551,,,0.962741874764711,8.552,4.935053959091462,76.954,,,25.724,,,,2239.72878370533,Average Height,Average
56,41002,Shell Oil Stations,-74.835,31.862,164.80791589962212,6.610678520540255,1.0901465901848308,7.175,5.12627151051625,168.729,1017.907,25.298,27.478,20.837,,,2983.0134249067573,Tall,Long
57,44009,Shell Oil Stations,-74.703,38.461,188.65875847306458,6.0783003741314925,1.1733011852196176,7.544,5.031911457122959,136.721,1016.957,18.087,15.164,15.888,,,3391.84354245039,Tall,Long
58,46078,Shell Oil Stations,-152.640,55.990,201.69682208304337,7.8317445627024425,2.5500474317445514,10.271,6.8019065247570625,202.421,1007.175,8.367,10.456,7.879,,,21657.63240718995,Very Tall,Long
59,44091,Shell Oil Stations,-73.770,39.769,,,1.228369627325253,8.032,5.118823566757674,140.934,,,15.242,,,,3781.917942757856,Tall,Long
60,46215,Shell Oil Stations,-120.860,35.204,,,1.5093319118692203,12.329,7.558162434580297,258.761,,,14.272,,,,8430.814463647857,Very Tall,Very Long
61,46254,Shell Oil Stations,-117.267,32.868,,,0.7464440101172632,10.015,5.977857553460567,282.791,,17.860,18.529,,,,1630.8868783791102,Average Height,Long
62,46089,Shell Oil Stations,-125.819,45.893,211.960300925926,6.346587228135136,2.2691634849010742,11.454,7.142960777507807,269.171,1017.166,12.283,13.523,,,,18009.16760229459,Very Tall,Very Long
63,41048,Shell Oil Stations,-69.497,31.950,173.55979387379088,6.164685264458329,1.7709363101419169,8.632,6.076967808930445,154.982,1017.639,26.274,25.908,22.055,,,9332.04066614395,Very Tall,Long
64,51212,Shell Oil Stations,-158.149,21.323,,,1.1194640834575185,13.084,7.883485543964238,234.823,,,26.719,,,,4837.515907180913,Tall,Very Long
65,42040,Shell Oil Stations,-88.207,29.212,157.63197061950325,5.508955396348517,0.9626553738317744,5.556,4.256107476635514,152.568,1017.486,25.310,27.754,20.952,,,1931.248089916282,Average Height,Average
66,44100,Shell Oil Stations,-75.591,36.258,,,1.1537299608122515,8.422,5.391674385464906,97.738,,,17.362,,,,3514.113624797477,Tall,Long
67,46211,Shell Oil Stations,-124.240,46.857,,,1.7759238820171264,11.483,7.482212496035513,271.229,,,12.344,,,,11554.802717762988,Very Tall,Very Long
68,46066,Shell Oil Stations,-155.047,52.785,233.61057962858754,8.637637130801686,2.8481127801621424,10.543,7.069477825464936,213.073,1009.670,8.509,7.782,,,,28079.249999880343,Very Tall,Very Long
69,52202,Shell Oil Stations,144.811,13.682,,,1.6695361816782173,9.479,6.4521946369002094,116.188,,,28.734,,,,8806.086202011049,Very Tall,Long
70,44018,Shell Oil Stations,-70.143,42.206,197.03473830477074,6.668005091414074,1.1157217512484061,7.073,4.90931947509001,142.230,1016.041,9.519,,5.300,,,2992.381053346561,Tall,Average
71,46251,Shell Oil Stations,-119.550,33.760,,,1.2567555729370314,12.718,6.806782166601452,231.987,,,16.685,,,,5264.138336758831,Tall,Long
72,44086,Shell Oil Stations,-75.421,36.001,,,1.3098645911694906,8.429,5.546069093223768,99.267,,,17.510,,,,4659.312956037594,Tall,Long
73,42002,Shell Oil Stations,-93.666,25.790,133.65592398165992,6.310766785856183,1.2821472858408236,6.361,4.8945628242439465,130.002,1016.816,23.837,26.022,16.862,,,3939.794265763141,Tall,Average
74,46224,Shell Oil Stations,-117.471,33.179,,,0.9184533167448992,13.604,7.317279873324642,216.011,,,18.377,,,,3022.370083668956,Average Height,Very Long
75,46042,Shell Oil Stations,-122.469,36.785,239.3770775896022,6.210042836744415,2.1809627401064478,11.729,7.116376996065707,282.604,1015.944,13.142,13.903,10.515,,,16574.454398500806,Very Tall,Very Long
76,46013,Shell Oil Stations,-123.301,38.242,255.26965487889808,6.4604455159112595,2.135479930191977,11.248,7.010651541593963,285.022,1015.554,11.383,12.018,9.120,,,15654.282666951796,Very Tall,Very Long
77,44007,Shell Oil Stations,-70.144,43.531,199.6143419833179,5.624228055973148,0.949922147339064,7.900,5.046445503137341,141.246,1015.372,8.122,9.773,4.117,,,2229.6947747192507,Average Height,Long
78,51004,Shell Oil Stations,-152.382,17.525,83.33678204964448,7.146150152072995,2.2727709587772065,10.460,6.773968272348284,130.761,1013.965,25.748,26.245,21.573,,,17133.192827916966,Very Tall,Long
79,46222,Shell Oil Stations,-118.317,33.618,,,0.9898814984709496,12.129,6.544489951944039,231.755,,,17.489,,,,3139.973777452735,Average Height,Long
80,46213,Shell Oil Stations,-124.740,40.294,,,2.398755242311261,11.731,7.575109506057802,284.934,,,12.467,,,,21342.46564058356,Very Tall,Very Long
81,46244,Shell Oil Stations,-124.357,40.888,,,2.1543776543613316,11.345,7.868780137210045,296.567,,,12.375,,,,17882.77384469196,Very Tall,Very Long
82,46035,Shell Oil Stations,-177.750,57.069,179.86944444444444,8.926319420489811,3.1023137036003257,9.612,6.831148478928273,179.485,1003.305,5.110,5.065,,,,32192.073404573,Very Tall,Long
83,46218,Shell Oil Stations,-120.769,34.451,,,2.0991812252503976,12.237,7.710215467039416,280.280,,,14.618,,,,16636.048720001854,Very Tall,Very Long
84,46258,Shell Oil Stations,-117.500,32.750,,,1.1696975241580347,13.752,7.723786380010307,228.187,,,18.267,,,,5174.414281857855,Tall,Very Long
85,44014,Shell Oil Stations,-74.842,36.611,185.08792863762744,6.230561979648487,1.4499791811242178,7.840,5.350604904001847,123.656,1017.820,16.895,17.687,13.490,,,5508.206563245747,Tall,Long
86,46246,Shell Oil Stations,-145.200,50.033,,,2.8436197511664085,10.958,7.324706065318796,232.938,,,10.782,,,,29001.27206029386,Very Tall,Very Long
87,42099,Shell Oil Stations,-84.275,27.345,,,0.9259484881005045,5.366,4.136550091534612,172.770,,,26.708,,,,1736.5837922463586,Average Height,Average
88,44025,Shell Oil Stations,-73.167,40.250,195.8079017495076,6.687196391394873,1.2710871830496708,7.324,4.972536760449238,163.464,1016.858,12.520,13.561,,,,3933.801877912855,Tall,Average
89,41008,Shell Oil Stations,-80.868,31.400,160.7690078813166,5.7496009253903795,0.9528785068397878,7.402,4.854502666357515,118.994,1017.508,21.364,22.297,17.561,,,2158.2592352762376,Average Height,Average
90,44065,Shell Oil Stations,-73.703,40.369,191.94096639061019,6.289795525434146,1.035178229206596,7.736,4.823746007410245,158.817,1017.038,12.342,14.111,8.270,,,2531.036997354249,Tall,Average
91,46229,Shell Oil Stations,-124.551,43.769,,,2.0250463927286546,11.416,7.3547251151928315,285.484,,,13.040,,,,14767.949600024209,Very Tall,Very Long
92,46088,Shell Oil Stations,-123.165,48.334,180.78292264189054,4.36082619647357,0.3558983650766877,4.936,3.8555637957188393,196.219,1016.601,9.359,9.534,6.664,,,239.12428321739503,Low Height,Average
93,46077,Shell Oil Stations,-154.291,57.892,155.90299026425592,7.1547012505789525,1.021426910105825,6.668,4.5748796371671085,166.224,1008.720,7.484,8.364,4.254,,,2337.1041420378338,Tall,Average
94,51207,Shell Oil Stations,-157.753,21.477,,,1.699698320787497,9.279,6.4458963520555885,112.307,,,25.876,,,,9118.235620149444,Very Tall,Long
95,46214,Shell Oil Stations,-123.470,37.945,,,2.5200950834879423,11.671,7.707422309833047,286.000,,,12.782,,,,23967.724925687533,Very Tall,Very Long
96,51001,Shell Oil Stations,-162.127,24.390,109.3917503822852,6.474625055351213,2.2931313014254315,10.983,7.197283578630188,175.315,1017.141,24.445,25.369,21.340,,,18531.486663744858,Very Tall,Very Long
97,46005,Shell Oil Stations,-131.001,46.100,219.32704833733288,6.5514963422744295,2.5111372321945518,11.488,7.180980891719737,259.930,1016.275,,,,,,22172.18366719781,Very Tall,Very Long
98,46225,Shell Oil Stations,-117.393,32.930,,,1.034313297322145,13.612,7.694635674060492,232.751,,,18.131,,,,4030.6592033760166,Tall,Very Long
99,46084,Shell Oil Stations,-136.101,56.600,202.03942028985503,6.5406528533395445,2.265830535941664,11.146,6.969681676119904,231.013,1013.041,9.127,9.937,7.533,,,17520.705738768018,Very Tall,Long
100,41009,Shell Oil Stations,-80.188,28.522,168.87199365864976,5.78113058551615,1.189147601904539,8.283,5.261003367785411,93.752,1017.346,24.391,27.571,19.502,,,3642.7042326559135,Tall,Long
101,41113,Shell Oil Stations,-80.530,28.400,,,0.7239803497280538,8.303,4.64564068074156,98.137,,,24.163,,,,1192.292948170004,Average Height,Average
102,46221,Shell Oil Stations,-118.633,33.854,,,1.0289081225033214,13.093,6.731163665836867,227.316,,,17.667,,,,3489.2102818302633,Tall,Long
103,44097,Shell Oil Stations,-71.127,40.969,,,1.3718719554627734,7.514,5.2249947807933115,174.899,,,13.156,,,,4815.005848671347,Tall,Long
104,44013,Shell Oil Stations,-70.651,42.346,190.64540449976062,6.3604201480066775,0.895461001164148,7.171,4.59896041909196,128.768,1015.509,10.004,11.541,5.853,,,1805.663529458866,Average Height,Average
105,46026,Shell Oil Stations,-122.833,37.759,252.00281310211943,5.635414902624937,1.8866319444444424,11.472,6.943851851851827,275.540,1016.243,12.729,13.086,,,,12102.040879322407,Very Tall,Long
106,46240,Shell Oil Stations,-121.907,36.626,,,0.8791773987701583,11.729,7.956710755308049,327.782,,,14.275,,,,3011.413566847917,Average Height,Very Long
107,41117,Shell Oil Stations,-81.080,30.000,,,1.0112910353535325,8.017,5.0233219696969735,92.693,,,23.643,,,,2515.5162767982715,Tall,Long
108,42012,Shell Oil Stations,-87.551,30.064,166.39140974967063,5.492406782730755,0.7594792995477175,5.300,4.053410645946896,157.239,1017.830,21.827,26.645,17.510,,,1144.8175748826472,Average Height,Average
109,46054,Shell Oil Stations,-120.459,34.274,237.45875145241362,6.393421441228631,1.9365910668826696,11.559,6.8151920851654255,278.817,1015.872,14.567,15.575,10.518,,,12515.198755149417,Very Tall,Long
110,44056,Shell Oil Stations,-75.714,36.200,,,1.014117088145014,9.020,5.545115480192972,82.772,,,16.851,,,,2792.354792757587,Tall,Long
111,41049,Shell Oil Stations,-63.000,27.500,142.06710500870238,5.182216916649033,1.6568870331709564,9.249,6.372080723729991,130.914,1019.927,27.130,26.343,21.376,,,8565.463506007649,Very Tall,Long
112,46087,Shell Oil Stations,-124.728,48.494,160.31367855683345,4.9156912736122536,1.6827712100139076,10.986,7.252778743625408,261.993,1016.232,10.045,10.644,8.403,,,10056.30361992154,Very Tall,Very Long
113,42097,Shell Oil Stations,-83.650,25.700,,,0.9225835294117654,5.387,4.154744117647063,177.633,,,27.099,,,,1731.5677055842511,Average Height,Average
114,46239,Shell Oil Stations,-122.101,36.338,,,2.089128105211893,11.979,7.688311182242027,281.576,,,14.011,,,,16430.277486374653,Very Tall,Very Long
115,41043,Shell Oil Stations,-64.966,21.061,110.03752979330284,5.847280076997138,1.6694526266960423,9.070,6.207542618578214,102.326,1018.296,26.832,27.360,21.962,,,8471.33217146518,Very Tall,Long
116,46076,Shell Oil Stations,-147.983,59.498,170.89428395820528,6.2341924198250815,1.9247241982507304,10.046,6.414351020408182,172.081,1005.726,10.052,11.356,7.229,,,11635.191546666558,Very Tall,Long
117,41040,Shell Oil Stations,-53.008,14.477,80.55810774591262,6.703574180861479,1.883436051899904,9.170,6.141355421686738,87.406,1014.245,27.321,27.634,23.138,,,10667.184150870213,Very Tall,Long
118,44066,Shell Oil Stations,-72.618,39.601,191.97083980053497,6.643162503219164,1.6272798332464868,7.912,5.44725725204099,165.038,1016.902,17.677,19.771,13.814,,,7062.950655636518,Very Tall,Long
119,51211,Shell Oil Stations,-157.959,21.297,,,-,10.500,5.758139975152331,156.958,,,26.412,,,,1997.0043554121826,Average Height,Long
120,46083,Shell Oil Stations,-137.986,58.237,190.0412844036697,6.3257149473196765,2.087609727851769,10.806,6.729964099594678,216.376,1012.373,8.689,9.636,,,,14361.346912790226,Very Tall,Long
121,41046,Shell Oil Stations,-68.333,23.838,114.898667963053,5.489415706967647,1.5861889329012069,8.962,6.1197887408474525,104.647,1017.718,27.625,28.517,23.179,,,7539.283299842772,Very Tall,Long
122,51002,Shell Oil Stations,-157.808,17.094,81.52907219362916,7.540397488096051,2.220891364902506,10.290,6.592988625812483,137.188,1014.197,26.846,27.531,22.960,,,15922.848366298624,Very Tall,Long
123,46235,Shell Oil Stations,-117.167,32.572,,,0.9955982249530628,13.410,7.1799823633156965,254.114,,,17.202,,,,3484.780328669516,Average Height,Very Long
124,42035,Shell Oil Stations,-94.413,29.232,145.4280710279617,5.785789098750457,0.8780271556226086,5.583,4.165439247998137,149.921,1017.126,23.298,21.474,20.730,,,1572.390830373907,Average Height,Average
125,41004,Shell Oil Stations,-79.099,32.501,168.54084111758053,6.5024977354635904,1.296714633863294,7.451,5.082721364744116,132.005,1017.694,25.452,24.363,22.652,,,4184.7443160187095,Tall,Long
126,46072,Shell Oil Stations,-172.058,51.656,206.2293748547525,9.06342538872129,2.9310277777777713,10.262,7.109686868686889,202.191,1007.612,6.666,7.690,1.966,,,29907.089060736456,Very Tall,Very Long
127,52200,Shell Oil Stations,144.789,13.354,,^,1.5147007062637603,8.764,6.083044459881912,87.818,,,28.902,,,,6833.739951124963,Very Tall,Long
128,51208,Shell Oil Stations,-159.574,22.285,,,1.942137274626648,10.359,6.856831231138296,170.682,,,24.389,,,,12663.88940483039,Very Tall,Long
129,46050,Shell Oil Stations,-124.534,44.639,186.78276661514684,5.703468408578553,2.1685737458000323,11.278,7.084051674197643,282.431,1017.672,9.511,10.281,6.348,,,16312.2516790681,Very Tall,Very Long
130,41110,Shell Oil Stations,-77.709,34.141,,,0.9220788696508208,7.729,4.84944698592854,128.766,,,20.315,,,,2018.8876784535134,Average Height,Average
131,42057,Shell Oil Stations,-81.422,16.908,88.28264295581455,5.9690763129523825,1.1757429532536832,7.068,4.962691103120293,107.981,1013.414,27.874,29.020,24.852,,,3359.122289445928,Tall,Average
132,46061,Shell Oil Stations,-146.834,60.233,162.15174187514612,5.955043194022875,1.382523965396301,10.159,6.2830862754267125,172.190,1010.223,8.092,9.491,,,,5880.3362637406935,Tall,Long
133,42058,Shell Oil Stations,-74.918,14.923,82.35391757657493,8.216120958794535,1.78741290423371,7.332,5.328415872519922,92.543,1012.330,28.302,28.412,25.746,,,8335.500715536791,Very Tall,Long
